Severity level,Food name,Description,Management,Mechanism,References,drug_id
No matching records,,,,,,DDInter1167
No matching records,,,,,,DDInter1168
No matching records,,,,,,DDInter1169
No matching records,,,,,,DDInter1170
No matching records,,,,,,DDInter1171
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Synergy,,DDInter1172
3,alcohol,"Concurrent acute use of barbiturates and ethanol may result in additive CNS effects,  including impaired coordination, sedation, and death.  Tolerance of these agents may occur with chronic use.  The mechanism is related to inhibition of microsomal enzymes acutely and induction of hepatic microsomal enzymes chronically.",The combination of ethanol and barbiturates should be avoided.,Metabolism,,DDInter1173
2,alcohol,"Coadministration of methotrexate with other agents known to induce hepatotoxicity may potentiate the risk of liver injury.  Methotrexate, especially at higher dosages or during prolonged treatment, has been associated with severe hepatotoxicity including acute hepatitis, chronic fibrosis, cirrhosis, and fatal liver failure.","The risk of hepatic injury should be considered when methotrexate is used with other potentially hepatotoxic agents (e.g., acetaminophen; alcohol; androgens and anabolic steroids; antituberculous agen...More",Synergy,,DDInter1174
2,coffee,"Limited data suggest that consumption of greater than 180 mg/day of caffeine may interfere with the efficacy of methotrexate (MTX) in patients with rheumatoid arthritis.  The exact mechanism of interaction is unknown but may be related to the antagonistic effect of caffeine on adenosine receptors, as anti-inflammatory properties of MTX is thought to result from the accumulation of adenosine.","Until further information is available, the potential for interaction should be considered in patients who consume substantial amounts of caffeine and caffeine-containing foods and are prescribed meth...More",Antagonism,,DDInter1174
No matching records,,,,,,DDInter1175
No matching records,,,,,,DDInter1176
2,foods containing photosensitizing components,"The ingestion of foods containing photosensitizing components (e.g., limes, figs, parsley, parsnips, rue (Ruta graveolens), mustard, carrots and celery) may increase the risk of photosensitivity and severe burning during methoxsalen therapy.",Patients who are undergoing PUVA treatment and taking methoxsalen should be advised to avoid eating large quantities of these foods.,Synergy,,DDInter1177
No matching records,,,,,,DDInter1178
No matching records,,,,,,DDInter1179
2,alcohol,"Use of anticholinergic agents with alcohol may result in sufficient impairment of attention so as to render driving and operating machinery more hazardous.  In addition, the potential for abuse may be increased with the combination.  The mechanism of interaction is not established but may involve additive depressant effects on the central nervous system.",Alcohol should generally be avoided during therapy with anticholinergic agents.  Patients should be counseled to avoid activities requiring mental alertness until they know how these agents affect the...More,Synergy,,DDInter1180
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Synergy,,DDInter1181
No matching records,,,,,,DDInter1182
No matching records,,,,,,DDInter1183
No matching records,,,,,,DDInter1184
2,alcohol,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.",Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihype...More,Synergy,,DDInter1185
No matching records,,,,,,DDInter1186
2,grapefruit juice,Grapefruit juice may increase the plasma concentrations of orally administered drugs that are substrates of the CYP450 3A4 isoenzyme.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.,Patients who regularly consume grapefruit or grapefruit juice should be monitored for adverse effects and altered plasma concentrations of drugs that undergo significant presystemic metabolism by CYP4...More,Metabolism,,DDInter1187
2,high-fat foods,"Food may reduce the rate and extent of absorption of methylnaltrexone following oral administration.  When a single 450 mg oral dose of methylnaltrexone was administered with a high-fat breakfast (approximately 800 to 1000 calories; 60% from fat, 25% from carbohydrate, and 15% from protein) in healthy study subjects, methylnaltrexone peak plasma concentration (Cmax) and systemic exposure (AUC) decreased by 60% and 43%, respectively, while time to reach Cmax delayed by 2 hours.",Oral methylnaltrexone should be taken with water on an empty stomach at least 30 minutes before the first meal of the day.,Absorption,,DDInter1188
2,alcohol,"Alcohol may exacerbate the adverse central nervous system effects of psychoactive drugs, including methylphenidate.",Patients treated with methylphenidate should be advised to avoid alcohol or medications that contain alcohol.,Synergy,,DDInter1189
3,alcohol,"Concurrent acute use of barbiturates and ethanol may result in additive CNS effects,  including impaired coordination, sedation, and death.  Tolerance of these agents may occur with chronic use.  The mechanism is related to inhibition of microsomal enzymes acutely and induction of hepatic microsomal enzymes chronically.",The combination of ethanol and barbiturates should be avoided.,Metabolism,,DDInter1190
2,grapefruit juice,"Grapefruit juice may increase the plasma concentrations of orally administered drugs that are substrates of the CYP450 3A4 isoenzyme.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.  Because grapefruit juice inhibits primarily intestinal rather than hepatic CYP450 3A4, the magnitude of interaction is greatest for those drugs that undergo significant presystemic metabolism by CYP450 3A4 (i.e., drugs with low oral bioavailability).  In general, the effect of grapefruit juice is concentration-, dose- and preparation-dependent, and can vary widely among brands.  Certain preparations of grapefruit juice (e.g., high dose, double strength) have sometimes demonstrated potent inhibition of CYP450 3A4, while other preparations (e.g., low dose, single strength) have typically demonstrated moderate inhibition.  Pharmacokinetic interactions involving grapefruit juice are also subject to a high degree of interpatient variability, thus the extent to which a given patient may be affected is difficult to predict.",Patients who regularly consume grapefruit or grapefruit juice should be monitored for adverse effects and altered plasma concentrations of drugs that undergo significant presystemic metabolism by CYP4...More,Metabolism,,DDInter1191
No matching records,,,,,,DDInter1192
No matching records,,,,,,DDInter1193
No matching records,,,,,,DDInter1194
No matching records,,,,,,DDInter1195
No matching records,,,,,,DDInter1196
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Synergy,,DDInter1197
No matching records,,,,,,DDInter1198
2,alcohol,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.",Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihype...More,Synergy,,DDInter1199
2,alcohol,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.",Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihype...More,Synergy,,DDInter1200
2,food,The bioavailability of metoprolol may be enhanced by food.,"Patients may be instructed to take metoprolol at the same time each day, preferably with or immediately following meals.",Absorption,,DDInter1200
No matching records,,,,,,DDInter1201
3,alcohol,"Use of alcohol or products containing alcohol during nitroimidazole therapy may result in a disulfiram-like reaction in some patients.  There have been a few case reports involving metronidazole, although data overall are not convincing.  The presumed mechanism is inhibition of aldehyde dehydrogenase (ALDH) by metronidazole in a manner similar to disulfiram.  Following ingestion of alcohol, inhibition of ALDH results in increased concentrations of acetaldehyde, the accumulation of which can produce an unpleasant physiologic response referred to as the 'disulfiram reaction'.","Because clear evidence is lacking concerning the safety of ethanol use during nitroimidazole therapy, patients should be apprised of the potential for interaction.  Consumption of alcoholic beverages ...More",Metabolism,,DDInter1202
2,alcohol,"Use of alcohol or products containing alcohol during nitroimidazole therapy may result in a disulfiram-like reaction in some patients.  There have been a few case reports involving metronidazole, although data overall are not convincing.  The presumed mechanism is inhibition of aldehyde dehydrogenase (ALDH) by metronidazole in a manner similar to disulfiram.  Following ingestion of alcohol, inhibition of ALDH results in increased concentrations of acetaldehyde, the accumulation of which can produce an unpleasant physiologic response referred to as the 'disulfiram reaction'.","Because clear evidence is lacking concerning the safety of ethanol use during nitroimidazole therapy, patients should be apprised of the potential for interaction and instructed to avoid alcoholic bev...More",Metabolism,,DDInter1203
No matching records,,,,,,DDInter1204
2,alcohol,"Metyrosine, when coadministered with other CNS depressants including alcoholic beverages, may lead to excessive somnolence and other forms of nervous system depression.","The patient should be informed to use caution if these agents are coadministered, especially if performing hazardous tasks such as driving or operating machinery.",Synergy,,DDInter1205
No matching records,,,,,,DDInter1206
No matching records,,,,,,DDInter1207
No matching records,,,,,,DDInter1208
No matching records,,,,,,DDInter1209
No matching records,,,,,,DDInter1210
No matching records,,,,,,DDInter1211
2,grapefruit juice,"The pharmacologic activity of oral midazolam, triazolam, and alprazolam may be increased if taken after drinking grapefruit juice.  The proposed mechanism is CYP450 3A4 enzyme inhibition.  In addition, acute alcohol ingestion may potentiate CNS depression and other CNS effects of many benzodiazepines.  Tolerance may develop with chronic ethanol use.  The mechanism may be decreased clearance of the benzodiazepines because of CYP450 hepatic enzyme inhibition.  Also, it has been suggested that the cognitive deficits induced by benzodiazepines may be increased in patients who chronically consume large amounts of alcohol.","The manufacturer recommends that grapefruit juice should not be taken with oral midazolam.  Patients taking triazolam or alprazolam should be monitored for excessive sedation.  Alternatively, the pati...More",Metabolism,,DDInter1212
2,alcohol,"The pharmacologic activity of oral midazolam, triazolam, and alprazolam may be increased if taken after drinking grapefruit juice.  The proposed mechanism is CYP450 3A4 enzyme inhibition.  In addition, acute alcohol ingestion may potentiate CNS depression and other CNS effects of many benzodiazepines.  Tolerance may develop with chronic ethanol use.  The mechanism may be decreased clearance of the benzodiazepines because of CYP450 hepatic enzyme inhibition.  Also, it has been suggested that the cognitive deficits induced by benzodiazepines may be increased in patients who chronically consume large amounts of alcohol.","The manufacturer recommends that grapefruit juice should not be taken with oral midazolam.  Patients taking triazolam or alprazolam should be monitored for excessive sedation.  Alternatively, the pati...More",Unknown,,DDInter1212
No matching records,,,,,,DDInter1213
3,grapefruit juice,"Grapefruit juice may significantly increase the plasma concentrations of midostaurin.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.  In general, the effect of grapefruit juice is concentration-, dose- and preparation-dependent, and can vary widely among brands.",The manufacturer recommends taking midostaurin with food.  Midostaurin was administered with food in clinical trials.  Patients should avoid consumption of grapefruit and grapefruit juice during treat...More,Metabolism,,DDInter1214
2,grapefruit juice,Food may significantly increase the plasma concentrations of mifepristone.,"When mifepristone is used daily to control hyperglycemia secondary to hypercortisolism in patients with endogenous Cushing's syndrome, it should be taken with food to achieve consistent plasma drug le...More",Others,,DDInter1215
2,high-fat foods,"Food may reduce the oral bioavailability of migalastat.  When migalastat was administered one hour before a high-fat (850 calories; 56% from fat) or light meal (507 calories; 30% from fat), or one hour after a light meal, mean migalastat peak plasma concentration (Cmax) decreased by 15% to 39% and systemic exposure (AUC) decreased by 37% to 42% compared to administration in the fasting state.",Migalastat should be taken on an empty stomach.  Patients should avoid eating for at least 2 hours before and 2 hours after taking migalastat to give a minimum 4 hours fast.  Clear liquids can be cons...More,Absorption,,DDInter1216
2,alcohol,"Alcohol may cause hypoglycemia or hyperglycemia in patients with diabetes.  Hypoglycemia most frequently occurs during acute consumption of alcohol.  Even modest amounts can lower blood sugar significantly, especially when the alcohol is ingested on an empty stomach or following exercise.  The mechanism involves inhibition of both gluconeogenesis as well as the counter-regulatory response to hypoglycemia.","Patients with diabetes should avoid consuming alcohol if their blood glucose is not well controlled, or if they have hypertriglyceridemia, neuropathy, or pancreatitis.  Patients with well controlled d...More",Others,,DDInter1217
No matching records,,,,,,DDInter1218
No matching records,,,,,,DDInter1219
2,alcohol,Use of milnacipran in conjunction with chronic alcohol consumption may potentiate the risk of liver injury.  Milnacipran alone can increase serum transaminase levels.,"Due to the risk of liver injury, patients prescribed milnacipran should be counseled to avoid excessive use of alcohol.  Milnacipran should generally not be prescribed to patients with substantial alc...More",Synergy,,DDInter1220
No matching records,,,,,,DDInter1221
2,food,"Administration of miltefosine with food may help reduce gastrointestinal adverse effects such as nausea, vomiting, abdominal pain, and diarrhea.",Miltefosine should be administered with meals to help improve gastrointestinal tolerance.  Patients should be advised to contact their physician if they develop severe or persistent vomiting or diarrh...More,Antagonism,,DDInter1222
No matching records,,,,,,DDInter1223
No matching records,,,,,,DDInter1224
No matching records,,,,,,DDInter1225
2,alcohol,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.",Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihype...More,Synergy,,DDInter1226
No matching records,,,,,,DDInter1227
3,alcohol,Coadministration with alcohol may increase the risk of hepatotoxicity associated with the use of mipomersen.,"Since alcohol may increase levels of hepatic fat and induce or exacerbate liver injury, the manufacturer recommends that patients taking mipomersen not consume more than one alcoholic drink per day.",Synergy,,DDInter1228
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Metabolism,,DDInter1230
No matching records,,,,,,DDInter1231
No matching records,,,,,,DDInter1232
No matching records,,,,,,DDInter1233
No matching records,,,,,,DDInter1234
No matching records,,,,,,DDInter1235
1,dairy products,"Administration with food may delay the absorption of modafinil (the racemate) and armodafinil (the R-enantiomer) without significantly affecting their overall bioavailability.  According to the product labeling, modafinil's absorption may be delayed by approximately one hour if taken with food.  Similarly, the time to reach peak plasma concentration (Tmax) of armodafinil may be delayed by approximately 2 to 4 hours in the fed state.",Modafinil should be administered at least 2 hours before (4 hours for dairy products) or 4 hours after meals.,Absorption,,DDInter1236
2,alcohol,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.",Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihype...More,Synergy,,DDInter1237
2,Food High in Potassium,"Moderate-to-high dietary intake of potassium can cause hyperkalemia in some patients who are using angiotensin converting enzyme (ACE) inhibitors.  In some cases, affected patients were using a potassium-rich salt substitute.  ACE inhibitors can promote hyperkalemia through inhibition of the renin-aldosterone-angiotensin (RAA) system.",It is recommended that patients who are taking ACE inhibitors be advised to avoid moderately high or high potassium dietary intake.  Particular attention should be paid to the potassium content of sal...More,Synergy,,DDInter1237
No matching records,,,,,,DDInter1238
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Metabolism,,DDInter1239
No matching records,,,,,,DDInter1240
No matching records,,,,,,DDInter1241
No matching records,,,,,,DDInter1242
No matching records,,,,,,DDInter1243
2,alcohol,"Ethanol may potentiate the central nervous system (CNS) depressant effects of opioid analgesics.  Concomitant use may result in additive CNS depression and impairment of judgment, thinking, and psychomotor skills.  In more severe cases, hypotension, respiratory depression, profound sedation, coma, or even death may occur.",Concomitant use of opioid analgesics with ethanol should be avoided.,Synergy,,DDInter1244
3,alcohol,"Alcohol may potentiate the central nervous system (CNS) depressant effects of opioid analgesics including morphine and diamorphine.  Concomitant use may result in additive CNS depression and impairment of judgment, thinking, and psychomotor skills.  In more severe cases, hypotension, respiratory depression, profound sedation, coma, or even death may occur.","Until more information is available, patients taking sustained-release formulations of morphine should not consume alcohol or use medications that contain alcohol.  In general, potent narcotics such a...More",Synergy,,DDInter1244
No matching records,,,,,,DDInter1245
No matching records,,,,,,DDInter1246
No matching records,,,,,,DDInter1247
No matching records,,,,,,DDInter1248
No matching records,,,,,,DDInter1249
No matching records,,,,,,DDInter1250
No matching records,,,,,,DDInter1251
2,high-fat foods,"Administration of enteric coated mycophenolic acid with meals may alter its pharmacokinetics relative to administration in the fasting state.  When mycophenolic acid 720 mg was administered with a high-fat meal, there was a 33% decrease in the peak plasma concentration (Cmax); a 3.5-hour increase in delay time for the rise of plasma mycophenolic acid; and a 5-hour delay in the time to reach peak plasma concentration (Tmax).  However, no effect was observed on the systemic exposure of mycophenolic acid.","To avoid variability in drug absorption between doses, enteric coated formulations of mycophenolic acid should be taken on an empty stomach, one hour before or two hours after food intake.  The tablet...More",Absorption,,DDInter1252
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Synergy,,DDInter1253
2,alcohol,The concurrent use of aspirin or nonsteroidal anti-inflammatory drugs (NSAIDs) and ethanol may lead to gastrointestinal (GI) blood loss.  The mechanism may be due to a combined local effect as well as inhibition of prostaglandins leading to decreased integrity of the GI lining.,Patients should be counseled on this potential interaction and advised to refrain from alcohol consumption while taking aspirin or NSAIDs.,Synergy,,DDInter1254
2,alcohol,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.",Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihype...More,Synergy,,DDInter1255
2,green tea,"Coadministration with green tea may significantly decrease the plasma concentrations of nadolol.  The mechanism of interaction has not been established, but may involve inhibition of OATP1A2-mediated uptake of nadolol in the intestine by catechins in green tea.","Based on available data, patients should be advised to limit their consumption of green tea and green tea extracts during treatment with nadolol.",Unknown,,DDInter1255
2,food,Certain penicillins may exhibit reduced gastrointestinal absorption in the presence of food.  The therapeutic effect of the antimicrobial may be reduced.,The interacting penicillin should be administered one hour before or two hours after meals.  Penicillin V and amoxicillin are not affected by food and may be given without regard to meals.,Absorption,,DDInter1256
2,alcohol,"Ethanol may potentiate the central nervous system (CNS) depressant effects of opioid analgesics.  Concomitant use may result in additive CNS depression and impairment of judgment, thinking, and psychomotor skills.  In more severe cases, hypotension, respiratory depression, profound sedation, coma, or even death may occur.",Concomitant use of opioid analgesics with ethanol should be avoided.,Synergy,,DDInter1257
2,grapefruit juice,Grapefruit juice may increase the plasma concentrations of naldemedine.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.,Naldemedine may be taken with or without food.  Patients should avoid consumption of grapefruit and grapefruit juice during treatment with naldemedine.,Metabolism,,DDInter1258
No matching records,,,,,,DDInter1259
No matching records,,,,,,DDInter1260
3,grapefruit juice,Grapefruit juice may significantly increase the plasma concentrations of naloxegol.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.,Patients treated with naloxegol should avoid consumption of grapefruit and grapefruit juice.  Naloxegol should be taken on an empty stomach at least 1 hour prior to the first meal of the day or 2 hour...More,Metabolism,,DDInter1261
2,alcohol,Coadministration of naltrexone with other agents known to induce hepatotoxicity may potentiate the risk of liver injury.,"The use of naltrexone with other potentially hepatotoxic agents should be avoided whenever possible (e.g., acetaminophen; alcohol; androgens and anabolic steroids; antituberculous agents; azole antifu...More",Synergy,,DDInter1263
No matching records,,,,,,DDInter1264
No matching records,,,,,,DDInter1265
2,alcohol,The concurrent use of aspirin or nonsteroidal anti-inflammatory drugs (NSAIDs) and ethanol may lead to gastrointestinal (GI) blood loss.  The mechanism may be due to a combined local effect as well as inhibition of prostaglandins leading to decreased integrity of the GI lining.,Patients should be counseled on this potential interaction and advised to refrain from alcohol consumption while taking aspirin or NSAIDs.,Synergy,,DDInter1266
No matching records,,,,,,DDInter1267
No matching records,,,,,,DDInter1268
2,alcohol,"Alcohol may cause hypoglycemia or hyperglycemia in patients with diabetes.  Hypoglycemia most frequently occurs during acute consumption of alcohol.  Even modest amounts can lower blood sugar significantly, especially when the alcohol is ingested on an empty stomach or following exercise.  The mechanism involves inhibition of both gluconeogenesis as well as the counter-regulatory response to hypoglycemia.  Episodes of hypoglycemia may last for 8 to 12 hours after ethanol ingestion.  By contrast, chronic alcohol abuse can cause impaired glucose tolerance and hyperglycemia.  Moderate alcohol consumption generally does not affect blood glucose levels in patients with well controlled diabetes.","Patients with diabetes should avoid consuming alcohol if their blood glucose is not well controlled, or if they have hypertriglyceridemia, neuropathy, or pancreatitis.  Patients with well controlled d...More",Others,,DDInter1269
No matching records,,,,,,DDInter1270
2,alcohol,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.",Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihype...More,Synergy,,DDInter1271
No matching records,,,,,,DDInter1272
No matching records,,,,,,DDInter1273
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Synergy,,DDInter1274
No matching records,,,,,,DDInter1275
No matching records,,,,,,DDInter1276
No matching records,,,,,,DDInter1277
No matching records,,,,,,DDInter1278
No matching records,,,,,,DDInter1279
No matching records,,,,,,DDInter1280
3,grapefruit juice,"Grapefruit, grapefruit juice, grapefruit hybrids, pomelos, star-fruit, and Seville oranges may increase the plasma concentrations of neratinib.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in these fruits.  Inhibition of hepatic CYP450 3A4 may also contribute.","The manufacturer recommends administering neratinib with food at approximately the same time every day.  Patients should avoid consumption of grapefruit, grapefruit juice, grapefruit hybrids, pomelos,...More",Metabolism,,DDInter1281
No matching records,,,,,,DDInter1282
No matching records,,,,,,DDInter1283
No matching records,,,,,,DDInter1284
No matching records,,,,,,DDInter1285
2,alcohol,"Ethanol can exacerbate the cutaneous flushing that is a common side effect of niacin.  At least one case of delirium and lactic acidosis has been reported with coadministration of these drugs, although data are limited.","Coadministration should probably be discouraged, particularly since chronic consumption of large amounts of alcohol is associated with hyperlipidemia.",Synergy,,DDInter1286
2,alcohol,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.",Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihype...More,Synergy,,DDInter1287
2,grapefruit juice,"The consumption of grapefruit juice may be associated with significantly increased plasma concentrations of some calcium channel blockers (CCBs) when they are administered orally.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.  The interaction has been reported with the dihydropyridine CCBs (in roughly decreasing order of magnitude) felodipine, nisoldipine, nifedipine, and nimodipine, often with a high degree of interindividual variability.  Grapefruit juice caused more than twofold increases in felodipine, nifedipine, and nisoldipine AUCs.",The manufacturers of nifedipine and nisoldipine recommend avoiding grapefruit juice.  Patients treated orally with other calcium channel blockers should be advised to avoid consumption of large amount...More,Metabolism,,DDInter1287
No matching records,,,,,,DDInter1288
No matching records,,,,,,DDInter1289
No matching records,,,,,,DDInter1290
2,alcohol,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.",Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihype...More,Synergy,,DDInter1291
2,grapefruit juice,"The consumption of grapefruit juice may be associated with significantly increased plasma concentrations of some calcium channel blockers (CCBs) when they are administered orally.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.  The interaction has been reported with the dihydropyridine CCBs (in roughly decreasing order of magnitude) felodipine, nisoldipine, nifedipine, and nimodipine, often with a high degree of interindividual variability.  Grapefruit juice caused more than twofold increases in felodipine, nifedipine, and nisoldipine AUCs.",The manufacturers of nifedipine and nisoldipine recommend avoiding grapefruit juice.  Patients treated orally with other calcium channel blockers should be advised to avoid consumption of large amount...More,Metabolism,,DDInter1291
3,alcohol,Use of alcohol or products containing alcohol during therapy with nitrofurans may result in a disulfiram-like reaction in some patients.  The presumed mechanism is inhibition of aldehyde dehydrogenase (ALDH) by nitrofurans in a manner similar to disulfiram.,"Consumption of alcohol is considered contraindicated during nifurtimox therapy.  To ensure maximal oral absorption, nifurtimox should be administered with food.",Metabolism,,DDInter1292
3,grapefruit juice,Grapefruit juice may increase the plasma concentrations of nilotinib.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruits.,"Patients treated with nilotinib should avoid consumption of grapefruit, grapefruit juice, and any supplement containing grapefruit extract.  In addition, no food should be consumed for at least 2 hour...More",Metabolism,,DDInter1293
2,alcohol,"Alcohol intolerance has been reported in 5% to 20% of patients following administration of nilutamide in clinical studies.  Symptoms include facial flushes, malaise, and hypotension.",Consumption of alcoholic beverages should be avoided in patients who experience alcohol intolerance with nilutamide.,Others,,DDInter1294
2,alcohol,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis",Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihype...More,Synergy,,DDInter1295
