Severity level,Disease name,Text,References,drug_id
2,Hypertension,The use of lorlatinib might cause hypertension.  It is recommended to assess and control blood pressure prior to treatment initiation.  Caution should be exercised when treating patients with prior hi...More,,DDInter1094
2,"Lung Diseases, Interstitial","Patients treated with lorlatinib have reported severe, life-threatening, or fatal interstitial lung disease (ILD) and/or pneumonitis.  It is recommended to investigate and monitor patients for pulmona...More",,DDInter1094
2,"Kidney Failure, Chronic",The recommended dose of lorlatinib has not been established for patients with severe renal impairment.  No dose adjustment is recommended for patients with mild or moderate renal impairment (creatinin...More,,DDInter1094
3,Diabetes Mellitus,The coadministration of some angiotensin II receptor blocker agents with aliskiren is contraindicated in patients with diabetes.,,DDInter1095
3,Angioedema,The use of these agents is contraindicated in patients with a history of angioedema related to previous angiotensin-converting enzyme (ACE) inhibitor or angiotensin II receptor blocker (ARB) therapy o...More,,DDInter1095
3,Hypotension,"Angiotensin II receptor (AR) antagonists can cause symptomatic hypotension in patients with an activated renin-angiotensin system, such as volume- and/or sodium-depleted patients.  Therapy with AR ant...More",,DDInter1095
2,Heart Failure,"Angiotensin II receptor (AR) antagonists can cause renal impairment in patients whose renal function depends on the activity of the renin-angiotensin-aldosterone system.  In addition, symptomatic hypo...More",,DDInter1095
2,Hyperkalemia,"Drugs that inhibit the renin-angiotensin, such as angiotensin II receptor antagonist system can cause hyperkalemia.  Concomitant use of these agents with drugs that increase potassium levels may incre...More",,DDInter1095
2,Renal Artery Obstruction,"In patients with bilateral renal artery stenosis or renal artery stenosis in a solitary kidney, angiotensin II receptor (AR) antagonists may reduce renal perfusion to a critically low level.  Increase...More",,DDInter1095
2,Kidney Diseases,Changes in renal function including acute renal failure can be caused by drugs that inhibit the renin-angiotensin system and by diuretics.  Patients whose renal function may depend in part on the acti...More,,DDInter1095
2,Liver Diseases,"Losartan is converted in the liver to an active carboxylic acid metabolite and several inactive metabolites, and both parent drug and metabolites are eliminated by the kidney (35%) as well as by bilia...More",,DDInter1095
3,Eye Infections,"The use of ophthalmic corticosteroids is contraindicated in most viral diseases of the cornea and conjunctiva, including epithelial herpes simplex keratitis (dendritic keratitis), vaccinia, and varice...More",,DDInter1096
3,Toxic Optic Neuropathy,"Prolonged use of corticosteroids may cause posterior subcapsular cataracts and elevated intraocular pressure, the latter of which may lead to glaucoma and/or damage to the optic nerves.  Therapy with ...More",,DDInter1096
No matching records,,,,DDInter1097
3,Liver Diseases,"The use of HMG-CoA reductase inhibitors is contraindicated in patients with active liver disease or unexplained, persistent elevations of serum transaminases.  HMG-CoA reductase inhibitors are extensi...More",,DDInter1098
3,Rhabdomyolysis,"Severe myopathy, including rhabdomyolysis with acute renal failure secondary to myoglobinuria, has been reported rarely with the use of HMG-CoA reductase inhibitors.  The myopathy may be dose-related ...More",,DDInter1098
3,Kidney Diseases,"In patients with severe renal impairment (CrCl < 30 mL/min.), the plasma concentrations of total HMG-CoA reductase inhibitors after a single dose of lovastatin may be approximately two-fold higher tha...More",,DDInter1098
2,Cognitive Dysfunction,"Cognitive impairment (e.g., memory loss, forgetfulness, amnesia, memory impairment, confusion) have been observed in patients receiving statins.  The reports are usually not serious, and reversible up...More",,DDInter1098
2,Diabetes Mellitus,Increases in HbA1c and fasting serum glucose levels have been reported with the use of certain HMG-CoA reductase inhibitors.  Caution should be exercised when using these agents in diabetic patients a...More,,DDInter1098
2,Kidney Diseases,"Some HMG-CoA reductase inhibitors such as fluvastatin, have not been studied in patients with severe renal impairment or end-stage renal disease.  Some others such as pitavastatin and simvastatin, req...More",,DDInter1098
3,Dementia,"Older patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death; although the causes were varied, most of the deaths appeared to be either cardiovascu...More",,DDInter1099
3,Central Nervous System Diseases,"The use of most miscellaneous antipsychotics is contraindicated in patients with severe central nervous system depression or comatose states from any cause (e.g., lesion, disease, drug or alcohol indu...More",,DDInter1099
3,Dementia,Elderly patients with dementia- related psychosis treated with antipsychotic drugs are at increased risk of death.  Most of these drugs are not approved for the treatment of patients with dementia- re...More,,DDInter1099
3,Neuroleptic Malignant Syndrome,"Neuroleptic Malignant Syndrome (NMS), a potentially fatal symptom complex, has been reported in association with the use of antipsychotic drugs.  The diagnostic evaluation is complicated and the manag...More",,DDInter1099
3,Epilepsy,Antipsychotics can lower the seizure threshold and trigger seizures in a dose-dependent manner.  Seizures have been reported in patients receiving antipsychotic therapy and may occur in epileptic pati...More,,DDInter1099
3,Alcoholic Intoxication,The use of neuroleptic agents is contraindicated in patients with acute alcohol intoxication exhibiting depressed vital signs.  The central nervous system depressant effects of neuroleptic agents may ...More,,DDInter1099
3,Cardiovascular Diseases,"Neuroleptic agents may cause hypotension (including orthostatic hypotension), reflex tachycardia, increased pulse rate, syncope and dizziness, particularly during initiation of therapy or rapid escala...More",,DDInter1099
3,Respiratory Insufficiency,The use of neuroleptic agents is contraindicated in comatose patients and patients with severe central nervous system depression.  Neuroleptic agents may potentiate the CNS and respiratory depression ...More,,DDInter1099
3,Neuroleptic Malignant Syndrome,The central dopaminergic blocking effects of neuroleptic agents may precipitate or aggravate a potentially fatal symptom complex known as neuroleptic malignant syndrome (NMS).  NMS is observed most fr...More,,DDInter1099
2,Seizures,Antipsychotic and neuroleptic drugs can lower the seizure threshold and trigger seizures in a dose-dependent manner.  This risk is greatest in patients with a history of seizures or with conditions th...More,,DDInter1099
3,Intestinal Obstruction,Lubiprostone is contraindicated in patients with known or suspected mechanical gastrointestinal obstruction.,,DDInter1100
2,Diarrhea,Lubiprostone should not be prescribed to patients that have severe diarrhea.  Care should be exercised when prescribing this drug to patients at risk of diarrhea and patients should be instructed to i...More,,DDInter1100
2,Dyspnea,The use of lubiprostone may cause dyspnea.  Care should be taken when prescribing this drug to patients that experienced dyspnea or when restarting the drug in those patients experiencing drug induced...More,,DDInter1100
2,Hepatic Insufficiency,No dosage adjustment is needed in patients with mild hepatic impairment.  It is recommended to modify the dose in patients with moderate and severe hepatic impairment as these patients experienced mar...More,,DDInter1100
No matching records,,,,DDInter1101
3,Depressive Disorder,"Antidepressants increased the risk of suicidal thoughts and behavior in children, adolescents, and young adults in short-term trials; these trials did not show increased risk in patients older than 24...More",,DDInter1102
3,Dementia,"Older patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death; although the causes were varied, most of the deaths appeared to be either cardiovascu...More",,DDInter1102
2,"Pneumonia, Aspiration",Esophageal dysmotility and aspiration have been associated with the use of antipsychotic drugs.  These drugs should be administered cautiously in patients at risk for aspiration pneumonia.,,DDInter1102
2,Seizures,Antipsychotic and neuroleptic drugs can lower the seizure threshold and trigger seizures in a dose-dependent manner.  This risk is greatest in patients with a history of seizures or with conditions th...More,,DDInter1102
2,Hematologic Diseases,"Cases of leukopenia, neutropenia, and agranulocytosis have been reported with the use of atypical antipsychotic agents.  Patients with preexisting low white blood cell count may be at increased risk. ...More",,DDInter1102
2,Hyperglycemia,"Hyperglycemia, in some cases extreme and associated with ketoacidosis or hyperosmolar coma or death, has been reported with the use of atypical antipsychotic agents.  Patients with diabetes should be ...More",,DDInter1102
2,Hypotension,The use of atypical antipsychotic agents has been associated with orthostatic hypotension and syncope.  Therapy with atypical antipsychotics should be administered cautiously in patients with hypotens...More,,DDInter1102
2,Dyslipidemias,"Atypical antipsychotic drugs have been associated with undesirable alterations in lipid levels.  While all agents in the class have been shown to produce some changes, each drug has its own specific r...More",,DDInter1102
2,Hepatic Insufficiency,A dosage reduction of lumateperone is recommended in patients with moderate or severe liver dysfunction (Child-Pugh B or C) as they generally had higher exposure to lumateperone than patients with nor...More,,DDInter1102
2,Tardive Dyskinesia,"Tardive dyskinesia (TD) has occurred in patients treated with antipsychotic drugs; the syndrome consists of potentially irreversible, involuntary, dyskinetic movements.  The risk appears highest in ol...More",,DDInter1102
No matching records,,,,DDInter1103
3,Depressive Disorder,"Antidepressants increased the risk of suicidal thoughts and behavior in children, adolescents, and young adults in short-term trials; these trials did not show increased risk in patients older than 24...More",,DDInter1104
3,Dementia,"Older patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death; although the causes were varied, most of the deaths appeared to be either cardiovascu...More",,DDInter1104
3,Neuroleptic Malignant Syndrome,The central dopaminergic blocking effects of neuroleptic agents may precipitate or aggravate a potentially fatal symptom complex known as neuroleptic malignant syndrome (NMS).  NMS is observed most fr...More,,DDInter1104
2,"Pneumonia, Aspiration",Esophageal dysmotility and aspiration have been associated with the use of antipsychotic drugs.  These drugs should be administered cautiously in patients at risk for aspiration pneumonia.,,DDInter1104
2,Seizures,Antipsychotic and neuroleptic drugs can lower the seizure threshold and trigger seizures in a dose-dependent manner.  This risk is greatest in patients with a history of seizures or with conditions th...More,,DDInter1104
2,Hematologic Diseases,"Cases of leukopenia, neutropenia, and agranulocytosis have been reported with the use of atypical antipsychotic agents.  Patients with preexisting low white blood cell count may be at increased risk. ...More",,DDInter1104
2,Hyperglycemia,"Hyperglycemia, in some cases extreme and associated with ketoacidosis or hyperosmolar coma or death, has been reported with the use of atypical antipsychotic agents.  Patients with diabetes should be ...More",,DDInter1104
2,Hypotension,The use of atypical antipsychotic agents has been associated with orthostatic hypotension and syncope.  Therapy with atypical antipsychotics should be administered cautiously in patients with hypotens...More,,DDInter1104
2,Dyslipidemias,"Atypical antipsychotic drugs have been associated with undesirable alterations in lipid levels.  While all agents in the class have been shown to produce some changes, each drug has its own specific r...More",,DDInter1104
2,Kidney Diseases,Therapy with some atypical antipsychotic agents should be administered cautiously in patients with renal impairment and the dosage should be reduced accordingly.  These agents are not recommended in p...More,,DDInter1104
2,Liver Diseases,"The use of lurbinectedin can cause hepatotoxicity.  Assess liver function tests, before administering lurbinectedin, periodically during treatment, and as clinically indicated.  No dose adjustment is ...More",,DDInter1105
2,Bone Marrow Failure Disorders,"The use of lurbinectedin can cause myelosuppression.  Assess blood counts, including neutrophil count and platelet count before each therapy and administer lurbinectedin only to patients with baseline...More",,DDInter1105
No matching records,,,,DDInter1106
No matching records,,,,DDInter1107
2,Liver Diseases,Lutetium Lu 177 dotatate does not undergo hepatic metabolism.  No dose adjustment is recommended for patients with mild or moderate hepatic impairment.  Care is recommended when using lutetium Lu 177 ...More,,DDInter1108
2,Bone Marrow Failure Disorders,The use of lutetium Lu 177 dotatate may increase the risk of developing myelosuppression.  Care should be exercised when using this agent in immunocompromised patients.  It is recommended to monitor b...More,,DDInter1108
2,Kidney Diseases,Lutetium Lu 177 dotatate predominantly undergoes renal excretion.  No dose adjustment is recommended for patients with mild to moderate renal impairment.  It is recommended to assess renal function fr...More,,DDInter1108
No matching records,,,,DDInter1109
No matching records,,,,DDInter1110
3,Liver Failure,"Endothelin receptor antagonists (ERAs) have been associated with aminotransferase elevations, hepatotoxicity, and cases of liver failure.  Hepatic function should be assessed before treatment initiati...More",,DDInter1111
2,Anemia,Clinical studies have shown that most endothelin receptor antagonists decrease hemoglobin concentration and hematocrit levels.  There are some postmarketing reports of anemia cases which needed blood ...More,,DDInter1111
2,Water-Electrolyte Imbalance,Peripheral edema and fluid retention are known clinical consequences of pulmonary hypertension and also known effects of endothelin receptor antagonists.  Caution and monitoring is recommended if thes...More,,DDInter1111
No matching records,,,,DDInter1112
No matching records,,,,DDInter1113
3,Heart Diseases,The parenteral administration of magnesium is contraindicated in patients with heart block or heart damage from myocardial infarction.  These conditions may be exacerbated during magnesium infusion.  ...More,,DDInter1114
3,Kidney Diseases,"Magnesium is eliminated by the kidney.  The serum concentration of magnesium is increased in patients with renal impairment.  Magnesium toxicity includes CNS depression, muscular paralysis, respirator...More",,DDInter1114
2,Cholestasis,"The trace elements, copper and manganese, are excreted in the bile.  Copper and manganese doses may need to be adjusted, reduced, or omitted in patients with liver disease or biliary obstruction.",,DDInter1114
2,Kidney Diseases,Manganese sulfate and manganese chloride preparations contain aluminum and may reach toxic levels with prolonged parenteral administration if kidney function is impaired.  Premature neonates are parti...More,,DDInter1114
2,Malabsorption Syndromes,"The trace metals manganese, chromium, copper, selenium, and zinc are absorbed in the GI tract from dietary sources and following administration of oral supplements.  GI absorption may be decreased in ...More",,DDInter1114
3,Inflammatory Bowel Diseases,The use of laxatives is contraindicated in patients with inflammatory bowel disease.  Patients with inflammatory bowel disease may experience colonic perforation with use of stimulant laxatives.,,DDInter1115
3,Intestinal Obstruction,The use of laxatives is contraindicated in patients with intestinal obstruction disorders.  Patients with intestinal obstruction disorders may need their underlying condition treated to correct the co...More,,DDInter1115
3,Kidney Diseases,"Magnesium is eliminated by the kidney.  The serum concentration of magnesium is increased in patients with renal impairment.  Magnesium toxicity includes CNS depression, muscular paralysis, respirator...More",,DDInter1115
3,Kidney Diseases,"Magnesium is eliminated by the kidney.  The serum concentration of magnesium is increased in patients with renal impairment.  Magnesium toxicity includes CNS depression, muscular paralysis, respirator...More",,DDInter1116
No matching records,,,,DDInter1117
3,Inflammatory Bowel Diseases,The use of laxatives is contraindicated in patients with inflammatory bowel disease.  Patients with inflammatory bowel disease may experience colonic perforation with use of stimulant laxatives.,,DDInter1118
3,Intestinal Obstruction,The use of laxatives is contraindicated in patients with intestinal obstruction disorders.  Patients with intestinal obstruction disorders may need their underlying condition treated to correct the co...More,,DDInter1118
3,Kidney Diseases,"Magnesium is eliminated by the kidney.  The serum concentration of magnesium is increased in patients with renal impairment.  Magnesium toxicity includes CNS depression, muscular paralysis, respirator...More",,DDInter1118
3,Kidney Diseases,"Magnesium is eliminated by the kidney.  The serum concentration of magnesium is increased in patients with renal impairment.  Magnesium toxicity includes CNS depression, muscular paralysis, respirator...More",,DDInter1119
3,Depressive Disorder,Antiepileptic drugs can increase depression and suicidal thoughts or behaviors in patients receiving these drugs for any indication.  Patients should be monitored for the emergence or worsening of dep...More,,DDInter1120
3,Inflammatory Bowel Diseases,The use of laxatives is contraindicated in patients with inflammatory bowel disease.  Patients with inflammatory bowel disease may experience colonic perforation with use of stimulant laxatives.,,DDInter1120
3,Intestinal Obstruction,The use of laxatives is contraindicated in patients with intestinal obstruction disorders.  Patients with intestinal obstruction disorders may need their underlying condition treated to correct the co...More,,DDInter1120
3,Heart Diseases,The parenteral administration of magnesium is contraindicated in patients with heart block or heart damage from myocardial infarction.  These conditions may be exacerbated during magnesium infusion.  ...More,,DDInter1120
3,Pre-Eclampsia,Intravenous magnesium should not be given to mothers with preeclampsia during the two hours preceding delivery.,,DDInter1120
3,Kidney Diseases,"Magnesium is eliminated by the kidney.  The serum concentration of magnesium is increased in patients with renal impairment.  Magnesium toxicity includes CNS depression, muscular paralysis, respirator...More",,DDInter1120
3,Myasthenia Gravis,The use of magnesium sulfate is contraindicated in patients with myasthenia gravis as it can precipitate a myasthenic crisis.  Myasthenic crisis is a life-threatening condition characterized by neurom...More,,DDInter1120
2,"Arrhythmias, Cardiac","The use of osmotic laxatives preparations, containing sodium sulfate, potassium sulfate, and magnesium sulfate may cause cardiac arrhythmias.  There have been rare reports of serious arrhythmias assoc...More",,DDInter1120
No matching records,,,,DDInter1121
No matching records,,,,DDInter1122
3,Dehydration,"The use of osmotic diuretics is contraindicated in patients with anuria, severe dehydration, pulmonary edema, or severe cardiac decompensation.  An increase in the tonicity of the blood may occur in t...More",,DDInter1123
2,Dehydration,"The use of osmotic diuretics is associated with an increase in blood tonicity.  Osmotic diuretics should be administered cautiously in patients with confused mental states, diabetes, congestive heart ...More",,DDInter1123
3,Cardiovascular Diseases,"Maprotiline should be administered with extreme caution in patients with history of myocardial infarction, and history or presence of cardiovascular disease because of the possibility of conduction de...More",,DDInter1124
3,Myocardial Infarction,The manufacturer does not recommend the use of maprotiline during the acute phases of myocardial infarction.,,DDInter1124
3,Epilepsy,"The use of maprotiline is contraindicated in patients with seizure disorders.  Maprotiline, a tetracyclic antidepressant, has a greater propensity to cause seizures than the tricyclic antidepressants....More",,DDInter1124
3,Anticholinergic Syndrome,"Tricyclic and tetracyclic antidepressants (TCAs) have anticholinergic activity, to which elderly patients are particularly sensitive.  Tertiary amines such as amitriptyline and trimipramine tend to ex...More",,DDInter1124
3,Cardiovascular Diseases,"Tricyclic and tetracyclic antidepressants (TCAs) may cause orthostatic hypotension, reflex tachycardia, syncope, and dizziness, particularly during initiation of therapy or rapid escalation of dosage....More",,DDInter1124
3,Pheochromocytoma,Tricyclic and tetracyclic antidepressants (TCAs) may potentiate the effects of circulating catecholamines.  Enhanced sympathetic activity can provoke hypertensive crises in patients with pheochromocyt...More,,DDInter1124
3,Bipolar Disorder,A major depressive episode can be the initial presentation of bipolar disorder.  Patients with depressive symptoms should be adequately screened to determine if they are at risk for bipolar disorder p...More,,DDInter1124
3,Depressive Disorder,Adult and pediatric patients with depression and other psychiatric disorders may experience worsening of their symptoms and may have the emergence of suicidal thoughts and behavior.  Patients should b...More,,DDInter1124
3,Hypotension,The use of tetracyclic antidepressants (TCAs) has occasionally been associated with significant orthostatic hypotension secondary to the alpha-1 adrenergic blocking effects of these drugs.  Therapy wi...More,,DDInter1124
3,Neutropenia,"The use of tetracyclic antidepressants has been associated with neutropenia (ANC < 500/mm3) and agranulocytosis (ANC < 500/mm3) with associated signs and symptoms,( e.g., fever, infection, etc.).  Pat...More",,DDInter1124
3,Liver Failure,"Hepatotoxicity has been reported with the use of maraviroc.  Severe rash or evidence of systemic allergic reaction (e.g., fever, eosinophilia, elevated immunoglobulin E [IgE]) prior to the development...More",,DDInter1125
3,Kidney Diseases,An increased risk of postural hypotension may occur in patients with severe renal dysfunction or in those with ESRD due to increased exposure to maraviroc in some patients.  This drug should be used w...More,,DDInter1125
2,Cardiovascular Diseases,Cardiovascular events (including myocardial ischemia and/or infarction) were reported in 11 therapy-experienced patients (1.3%) receiving maraviroc during phase 3 trials; these patients generally had ...More,,DDInter1125
No matching records,,,,DDInter1126
3,Immune Deficiency Disease,"In general, the use of measles, mumps, and rubella vaccine or any single component is contraindicated in patients with primary or acquired immunodeficiency.  Since these vaccines contain live attenuat...More",,DDInter1127
3,Infections,"Ideally, vaccination should occur when an individual is healthy, thus minimizing the risk of an adverse host reaction and/or vaccine failure.  However, a current or recent infection does not necessari...More",,DDInter1127
2,Liver Diseases,"Although mebendazole is poorly absorbed from the gastrointestinal tract (only 2% to 10% of a dose is absorbed systemically), absorbed drug is primarily metabolized by the liver.  Therapy with mebendaz...More",,DDInter1128
2,Digestive System Diseases,"Nonvisualization or delayed visualization of the gallbladder may occur in certain populations, including patients who have been fasting for a prolonged period or undergoing parenteral feeding; patient...More",,DDInter1129
No matching records,,,,DDInter1130
2,"Diabetes Mellitus, Type 2","Mecasermin has insulin-like hypoglycemic effects, therefore, care should be taken when prescribing this agent to diabetic patients.  It is recommended to monitor blood glucose levels in these patients...More",,DDInter1131
2,Edema due to obstruction of lymph vessels or disorders of the lymph nodes.,"Lymphoid tissue (e.g., tonsillar and adenoidal) hypertrophy associated with complications such as snoring, sleep apnea, and chronic middle-ear effusions have been reported with the use of mecasermin. ...More",,DDInter1131
2,Scoliosis,"Because mecasermin increases growth rate, patients who experience rapid growth should be closely monitored for any onset of a limp or complaints of hip or knee pain.  Patients with a history of scolio...More",,DDInter1131
2,Vision Disorders,"Intracranial hypertension with papilledema, visual changes, headache, nausea and/or vomiting have occurred in patients treated with mecasermin.  Ophthalmologic examination is recommended at the initia...More",,DDInter1131
No matching records,,,,DDInter1132
3,Infections,The use of mechlorethamine is contraindicated in patients with known infectious diseases.  Mechlorethamine inhibits rapidly proliferating cells and can induce severe myelosuppression.  All patients sh...More,,DDInter1133
2,Bone Marrow Failure Disorders,Mechlorethamine induces leukopenia and thrombocytopenia.  Therapy should be administered cautiously in patients whose bone marrow reserve may be severely depressed by prior irradiation or chemotherapy...More,,DDInter1133
2,Anticholinergic Syndrome,"Antihistamines often have anticholinergic activity, to which elderly patients are particularly sensitive.  Therapy with antihistamines should be administered cautiously, if at all, in patients with pr...More",,DDInter1134
2,Asthma,"It has been suggested that the anticholinergic effect of antihistamines may reduce the volume and cause thickening of bronchial secretions, resulting in obstruction of respiratory tract.  Some manufac...More",,DDInter1134
2,Cardiovascular Diseases,"Antihistamines may infrequently cause cardiovascular adverse effects related to their anticholinergic and local anesthetic (quinidine-like) activities.  Tachycardia, palpitation, ECG changes, arrhythm...More",,DDInter1134
2,Liver Diseases,"Limited pharmacokinetic data are available for the older, first-generation antihistamines.  Many appear to be primarily metabolized by the liver, and both parent drugs and metabolites are excreted in ...More",,DDInter1134
3,Asthma,"Nonsteroidal anti-inflammatory drugs (NSAIDs) are contraindicated in patients with history of asthma, urticaria, or other allergic-type reactions after taking aspirin or other NSAIDs; severe, sometime...More",,DDInter1135
3,Water-Electrolyte Imbalance,Fluid retention and edema have been reported in association with the use of nonsteroidal anti-inflammatory drugs (NSAIDs).  Therapy with NSAIDs should be administered cautiously in patients with preex...More,,DDInter1135
3,Peptic Ulcer,"Nonsteroidal anti-inflammatory drugs (NSAIDs) can cause serious gastrointestinal (GI) adverse events including inflammation, bleeding, ulceration, and perforation of the esophagus, stomach, small inte...More",,DDInter1135
3,Exanthema,"Nonsteroidal anti-inflammatory drugs (NSAIDs) can cause serious skin adverse reactions (e.g., Stevens-Johnson syndrome, toxic epidermal necrolysis, and exfoliative dermatitis), which can be fatal.  Th...More",,DDInter1135
3,Kidney Diseases,Long-term use of nonsteroidal anti-inflammatory drugs (NSAIDs) has resulted in renal papillary necrosis and other renal injury.  Renal toxicity has been seen in patients in whom renal prostaglandins h...More,,DDInter1135
3,Thrombosis,"Nonsteroidal anti-inflammatory drugs (NSAIDs) cause an increased risk of serious cardiovascular thrombotic events, including myocardial infarction and stroke, which can be fatal.  This risk may occur ...More",,DDInter1135
2,Anemia,"Anemia has been reported in patients treated with nonsteroidal anti-inflammatory drugs (NSAIDs).  This may be due to fluid retention, occult/gross blood loss, or an incompletely described effect on er...More",,DDInter1135
2,Heart Failure,"Fluid retention and edema have been observed in patients treated with nonsteroidal anti-inflammatory drugs (NSAIDs), including some topical formulations.  These drugs should be avoided in patients wit...More",,DDInter1135
2,Liver Diseases,"Borderline elevations of 1 or more liver tests may occur in up to 15% of patients treated with nonsteroidal anti-inflammatory drugs (NSAIDs).  These laboratory abnormalities may progress, remain uncha...More",,DDInter1135
2,Hyperkalemia,"Increases in serum potassium concentration (including hyperkalemia) have been reported with use of nonsteroidal anti-inflammatory drugs (NSAIDs), even in some patients without renal impairment.  In pa...More",,DDInter1135
No matching records,,,,DDInter1136
3,Abnormal Genital Bleeding,The use of contraceptives is contraindicated when there is an undiagnosed abnormal genital bleeding.  Adequate diagnostic measures should be undertaken to rule out the presence of any malignancy.,,DDInter1137
3,Uterine Hemorrhage,"The use of estrogens is contraindicated in patients with undiagnosed, abnormal vaginal bleeding.  Prolonged (> 1 year), unopposed estrogen use (i.e. estrogen without concomitant progestin therapy) has...More",,DDInter1137
3,Breast Neoplasms,"The use of estrogens is generally contraindicated in patients with known or suspected estrogen-dependent neoplasia such as breast and endometrial cancer, since it may stimulate tumor proliferation.  H...More",,DDInter1137
3,Breast Neoplasms,"When treated with an estrogen, patients with breast cancer and bone metastases may develop severe hypercalcemia, in which case the drug should be stopped and measures be taken to reduce serum calcium ...More",,DDInter1137
3,Hypertension,"The risk of myocardial infarction and strokes, including those associated with oral contraceptive use and some estrogen use, is increased in patients with hypertension.  Moreover, estrogens (and proge...More",,DDInter1137
3,Thromboembolism,The use of estrogens is considered by manufacturers and some authorities to be contraindicated in patients with active thrombotic or thromboembolic disorders.  The use of estrogen-containing oral cont...More,,DDInter1137
3,Liver Neoplasms,"The use of oral contraceptives is contraindicated in patients with liver tumors.  An increased risk of benign hepatic adenomas and hepatocellular carcinomas has been associated with long-term, oral es...More",,DDInter1137
3,"Bone Diseases, Metabolic","The use of intramuscular medroxyprogesterone for contraception has been shown to induce bone loss, particularly during the early years of therapy.  With continued use, the decline in bone density subs...More",,DDInter1137
3,Menorrhagia,The use of medroxyprogesterone in women with undiagnosed vaginal bleeding is contraindicated.  Most women using medroxyprogesterone experience disruption of menstrual bleeding patterns.  Altered menst...More,,DDInter1137
3,Breast Neoplasms,The use of progestogens is considered by manufacturers to be contraindicated in patients with existing or suspected malignancy of the breast.  Some supportive data are available for medroxyprogesteron...More,,DDInter1137
No matching records,,,,DDInter1138
3,Asthma,"Nonsteroidal anti-inflammatory drugs (NSAIDs) are contraindicated in patients with history of asthma, urticaria, or other allergic-type reactions after taking aspirin or other NSAIDs; severe, sometime...More",,DDInter1139
3,Water-Electrolyte Imbalance,Fluid retention and edema have been reported in association with the use of nonsteroidal anti-inflammatory drugs (NSAIDs).  Therapy with NSAIDs should be administered cautiously in patients with preex...More,,DDInter1139
3,Peptic Ulcer,"Nonsteroidal anti-inflammatory drugs (NSAIDs) can cause serious gastrointestinal (GI) adverse events including inflammation, bleeding, ulceration, and perforation of the esophagus, stomach, small inte...More",,DDInter1139
3,Exanthema,"Nonsteroidal anti-inflammatory drugs (NSAIDs) can cause serious skin adverse reactions (e.g., Stevens-Johnson syndrome, toxic epidermal necrolysis, and exfoliative dermatitis), which can be fatal.  Th...More",,DDInter1139
3,Kidney Diseases,Long-term use of nonsteroidal anti-inflammatory drugs (NSAIDs) has resulted in renal papillary necrosis and other renal injury.  Renal toxicity has been seen in patients in whom renal prostaglandins h...More,,DDInter1139
3,Thrombosis,"Nonsteroidal anti-inflammatory drugs (NSAIDs) cause an increased risk of serious cardiovascular thrombotic events, including myocardial infarction and stroke, which can be fatal.  This risk may occur ...More",,DDInter1139
2,Anemia,"Anemia has been reported in patients treated with nonsteroidal anti-inflammatory drugs (NSAIDs).  This may be due to fluid retention, occult/gross blood loss, or an incompletely described effect on er...More",,DDInter1139
2,Heart Failure,"Fluid retention and edema have been observed in patients treated with nonsteroidal anti-inflammatory drugs (NSAIDs), including some topical formulations.  These drugs should be avoided in patients wit...More",,DDInter1139
2,Liver Diseases,"Borderline elevations of 1 or more liver tests may occur in up to 15% of patients treated with nonsteroidal anti-inflammatory drugs (NSAIDs).  These laboratory abnormalities may progress, remain uncha...More",,DDInter1139
2,Hyperkalemia,"Increases in serum potassium concentration (including hyperkalemia) have been reported with use of nonsteroidal anti-inflammatory drugs (NSAIDs), even in some patients without renal impairment.  In pa...More",,DDInter1139
3,Psychotic Disorders,"The use of mefloquine for malaria prophylaxis is contraindicated in patients with active depression, a recent history of depression, generalized anxiety disorder, psychosis, schizophrenia, or other ma...More",,DDInter1140
3,Seizures,The use of mefloquine for malaria prophylaxis is contraindicated in patients with a history of seizures.  Mefloquine can increase the risk of convulsions in patients with epilepsy and may lower the pl...More,,DDInter1140
2,Cardiac Conduction System Disease,Mefloquine is a myocardial depressant.  Animal studies with parenteral mefloquine indicate that the drug possesses 20% of the antifibrillatory action of quinidine and produces 50% of the increase in t...More,,DDInter1140
2,Liver Diseases,Mefloquine is primarily metabolized by the liver.  Patients with liver disease may be at greater risk for adverse effects from mefloquine due to decreased drug clearance.  Therapy with mefloquine shou...More,,DDInter1140
3,Thromboembolism,"The use of progestogens, in general, is considered by manufacturers to be contraindicated in patients with active thrombophlebitis, cerebrovascular disease, or a current or past history of thromboembo...More",,DDInter1141
2,Water-Electrolyte Imbalance,"Estrogens and progestogens may cause fluid retention, particularly when given in high dosages or for prolonged periods.  Therapy with these agents should be administered cautiously in patients who hav...More",,DDInter1141
2,Eye Diseases,Estrogens and progestogens may cause retinal thrombosis.  Oral contraceptives should be discontinued if there is unexplained partial or complete loss of vision; onset of proptosis or diplopia; papille...More,,DDInter1141
2,Diabetes Mellitus,"Megestrol, like other progestational agents, can cause glucose intolerance.  In addition, it may have glucocorticoid activity.  New onset diabetes and exacerbation of preexisting diabetes have been re...More",,DDInter1141
2,Cushing Syndrome,Megestrol appears to have glucocorticoid activity and may aggravate conditions of hyperadrenocorticalism.  Clinical cases of overt Cushing's syndrome and adrenal insufficiency have been reported in as...More,,DDInter1141
